CS_type,phaseOrigin,trial,stim,mem_con,cs_duration,cs_duration,phase,category,memCon_by_phase,shocked_day1
CSm,acq,t_047,stims/tools/jumprope_simB.jpg,sim,5,2,bps1,tool,sim_acq_b_CSm,noUS
CSm,acq,t_048,stims/tools/neckpillow_simB.jpg,sim,5,5,bps1,tool,sim_acq_b_CSm,noUS
CSp,bps,t_049,stims/animals/racoon.jpg,new,5,2,bps1,animal,new_bps_CSp,noUS
CSm,ext,t_050,stims/tools/hairdryer_simB.jpg,sim,5,2,bps1,tool,SIM_EXT_b_CSm,noUS
CSp,acq,t_051,stims/animals/brown_bear.jpg,old,5,2,bps1,animal,OLD_ACQ_CSp,YES_US
CSm,acq,t_052,stims/tools/lunchtray_simB.jpg,sim,5,2,bps1,tool,sim_acq_b_CSm,noUS
CSp,bps,t_053,stims/animals/waterbuffalo.jpg,new,5,5,bps1,animal,new_bps_CSp,noUS
CSm,bps,t_054,stims/tools/wheelbarrow.jpg,new,5,2,bps1,tool,NEW_CSm,noUS
CSp,ext,t_055,stims/animals/turtle_simB.jpg,sim,5,2,bps1,animal,sim_ext_b_CSp,noUS
CSm,ext,t_056,stims/tools/spork_simB.jpg,sim,5,5,bps1,tool,sim_ext_b_CSm,noUS
CSm,acq,t_057,stims/tools/sander.jpg,old,5,2,bps1,tool,old_acq_CSm,noUS
CSp,ext,t_058,stims/animals/rabbitt_simB.jpg,sim,5,5,bps1,animal,sim_ext_b_CSp,noUS
CSm,ext,t_059,stims/tools/paintbrush.jpg,old,5,2,bps1,tool,OLD_EXT_CSm,noUS
CSm,acq,t_060,stims/tools/fan.jpg,old,5,2,bps1,tool,old_acq_CSm,noUS
CSm,bps,t_061,stims/tools/microwave.jpg,new,5,2,bps1,tool,NEW_CSm,noUS
CSp,acq,t_062,stims/animals/mink.jpg,old,5,2,bps1,animal,OLD_ACQ_CSp,noUS
CSp,ext,t_063,stims/animals/orangutan_simB.jpg,sim,5,2,bps1,animal,sim_ext_b_CSp,noUS
CSm,acq,t_064,stims/tools/lawnmower.jpg,old,5,5,bps1,tool,old_acq_CSm,noUS
CSm,bps,t_065,stims/tools/spraybottle.jpg,new,5,2,bps1,tool,NEW_CSm,noUS
CSp,ext,t_066,stims/animals/canary.jpg,old,5,2,bps1,animal,old_ext_CSp,noUS
CSp,acq,t_067,stims/animals/butterfly_simB.jpg,sim,5,2,bps1,animal,sim_acq_b_CSp,YES_US
CSm,acq,t_068,stims/tools/hockeystick_simB.jpg,sim,5,2,bps1,tool,SIM_ACQ_b_CSm,noUS
CSm,bps,t_069,stims/tools/levelmount.jpg,new,5,2,bps1,tool,new_bps_CSm,noUS
CSp,ext,t_070,stims/animals/chicken_simB.jpg,sim,5,5,bps1,animal,sim_ext_b_CSp,noUS
CSp,acq,t_071,stims/animals/frog_simB.jpg,sim,5,2,bps1,animal,SIM_ACQ_b_CSp,YES_US
CSp,bps,t_072,stims/animals/chipmunk.jpg,new,5,2,bps1,animal,new_bps_CSp,noUS
CSm,acq,t_073,stims/tools/allenwrench_simB.jpg,sim,5,5,bps1,tool,sim_acq_b_CSm,noUS
