6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	BTT	BDT	BLX	BLY	BCX	BCY	BRI	BPW	BPH	BQU	BFX	GPX	GPY	GPZ	CNT	MRK	STR
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	 X 	 Y 	 Z 	Count	Marker	String
7	 0.000000	EyeA FrameRate	60
7	 0.000000	EyeB FrameRate	60
10	  0.4504	  16.7919	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	5	0.0000	  0.4423	  16.8790	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	27		
10	  0.4669	  16.4587	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	5	0.0000	  0.4589	  16.6357	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	28		
10	  0.4836	  16.7081	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	5	0.0000	  0.4756	  16.6174	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	29		
10	  0.5004	  16.8045	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	5	0.0000	  0.4923	  16.7206	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	30		
10	  0.5170	  16.6546	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	5	0.0000	  0.5090	  16.6964	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	31		
10	  0.5335	  16.4964	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	5	0.0000	  0.5256	  16.5844	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	32		
10	  0.5503	  16.7812	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	5	0.0000	  0.5424	  16.8341	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	33		
10	  0.5670	  16.6694	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	5	0.0000	  0.5590	  16.5690	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	34		
10	  0.5838	  16.8319	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	5	0.0000	  0.5755	  16.5352	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	35		
10	  0.6003	  16.4710	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	5	0.0000	  0.5924	  16.8656	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	36		
10	  0.6170	  16.6896	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	5	0.0000	  0.6091	  16.6823	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	37		
10	  0.6340	  17.0357	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	5	0.0000	  0.6257	  16.6054	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	38		
10	  0.6504	  16.4016	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	5	0.0000	  0.6424	  16.7420	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	39		
10	  0.6671	  16.6964	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	5	0.0000	  0.6592	  16.7750	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	40		
10	  0.6837	  16.5830	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	5	0.0000	  0.6758	  16.6305	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	41		
10	  0.7006	  16.8670	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.6924	  16.6235	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	42		
10	  0.7172	  16.6242	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.7091	  16.6892	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	43		
10	  0.7338	  16.5938	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.7257	  16.5892	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	44		
10	  0.7506	  16.8290	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.7424	  16.7292	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	45		
10	  0.7671	  16.5183	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.7591	  16.6763	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	46		
10	  0.7839	  16.7686	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.7759	  16.7655	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	47		
10	  0.8004	  16.5518	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.7926	  16.6796	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	48		
10	  0.8174	  16.9705	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.8093	  16.7652	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	49		
